Title,Also Called,Condensed Summary,Physician
Rubella,"German measles, Three day measles",Rubella is an infection caused by a virus. It is usually mild with fever and a rash.,Dermatology
Safe Opioid Use,,"What are opioids? Opioids, sometimes called narcotics, are a type of drug.",Addiction Medicine
Salivary Gland Cancer,,"Your salivary glands make saliva - sometimes called spit - and empty it into your mouth through openings called ducts. Saliva makes your food moist, which helps you chew and swallow.",Dentistry
Salivary Gland Disorders,,Your salivary glands are in your mouth. You have three pairs of major salivary glands and hundreds of small (minor) glands.,Dentistry
Salmonella Infections,,"Salmonella is the name of a group of bacteria. In the United States, it is a common cause of foodborne illness.",Infectious Disease
Sarcoidosis,,"What is sarcoidosis? Sarcoidosis is a condition in which groups of cells in your immune system form small, red, and swollen (inflamed) lumps.",Pulmonology
Scabies,,"Scabies is an itchy skin condition caused by the microscopic mite Sarcoptes scabei. It is common all over the world, and can affect anyone.",Dermatology
Scars,"Cicatrix, Keloid scar","A scar is a permanent patch of skin that grows over a wound. It forms when your body heals itself after a cut, scrape, burn, or sore.",Dermatology
Schizophrenia,,Schizophrenia is a serious brain illness. People who have it may hear voices that aren't there.,Psychiatry
School Health,,Your child spends more time at school than anywhere else except home. Schools can have a major effect on children's health.,Pediatrics
Sciatica,,"Sciatica is a symptom of a problem with the sciatic nerve, the largest nerve in the body. It controls muscles in the back of your knee and lower leg and provides feeling to the back of your thigh, part of your lower leg, and the sole of your foot.",Orthopedics
Scleroderma,"Circumscribed scleroderma, Dermatosclerosis, Morphea, Systemic sclerosis",Scleroderma means hard skin. It is a group of diseases that cause abnormal growth of connective tissue.,Allergy and Immunology
Scoliosis,,"Scoliosis causes a sideways curve of your backbone, or spine. These curves are often S- or C-shaped.",Orthopedics
Seasonal Affective Disorder,"SAD, Seasonal depression, Seasonal mood disorder",Seasonal affective disorder (SAD) is a type of depression that comes and goes with the seasons. It usually starts in the late fall and early winter and goes away during the spring and summer.,Psychiatry
Secondhand Smoke,"Environmental tobacco smoke, Passive smoking, Tobacco smoke pollution","Secondhand smoke is a mixture of the smoke that comes from the burning end of a cigarette, cigar, or pipe, and the smoke breathed out by the smoker. It contains more than 7,000 chemicals.",Medical Toxicology
Seizures,,"Seizures are symptoms of a brain problem. They happen because of sudden, abnormal electrical activity in the brain.",Neurology
Self-Harm,,"What is self-harm? Self-harm, or self-injury, is when a person hurts his or her own body on purpose.",Psychiatry
Sepsis,,What is sepsis? Sepsis is your body's overactive and extreme response to an infection.,Infectious Disease
Sexual Assault,Rape,"What is sexual assault? Sexual assault is any kind of sexual activity, contact, or experience that happens without your consent.",Trauma Surgery
Sexual Health,,"Sexuality is a big part of being human. Love, affection and sexual intimacy all play a role in healthy relationships.",Gynecology
Sexual Problems in Men,,Many men have sexual problems. They become more common as men age.,"Urology, Andrology"
Sexual Problems in Women,,"There are many problems that can keep a woman from enjoying sex. They include: Lack of sexual desire Inability to become aroused Lack of orgasm, or sexual climax Painful intercourse These problems may have physical or psychological causes.",Gynecology
Sexually Transmitted Diseases,"STDs, Sexually transmitted infections, Venereal disease","What are sexually transmitted diseases (STDs)? Sexually transmitted diseases (STDs), or sexually transmitted infections (STIs), are infections that are passed from one person to another through sexual contact.",Gynecology
Shingles,"Herpes zoster, Postherpetic neuralgia",What is shingles? Shingles (herpes zoster) is an infection that causes a painful rash.,Neurology
Shock,,Shock happens when not enough blood and oxygen can get to your organs and tissues. It causes very low blood pressure and may be life-threatening.,"Hematology, Cardiology"
Shoulder Injuries and Disorders,,"Your shoulder joint is composed of three bones: the clavicle (collarbone), the scapula (shoulder blade), and the humerus (upper arm bone). Your shoulders are the most movable joints in your body.",Orthopedics
Sickle Cell Disease,"Hemoglobin SS disease, Sickle cell anemia",What is sickle cell disease (SCD)? Sickle cell disease (SCD) is a group of inherited red blood cell disorders.,"Hematology, Cardiology"
Sinusitis,,Sinusitis means your sinuses are inflamed. The cause can be an infection or another problem.,Otolaryngology
Sjogren's Syndrome,,Sjogren's syndrome is an autoimmune disease. This means that your immune system attacks parts of your own body by mistake.,Orthopedics
Skin Aging,,"Your skin changes as you age. You might notice wrinkles, age spots and dryness.",Dermatology
Skin Cancer,,Skin cancer is the most common form of cancer in the United States. The two most common types are basal cell cancer and squamous cell cancer.,Dermatology
Skin Conditions,"Cutaneous disorders, Dermatologic disorders",What does your skin do? Your skin is your body's largest organ.,Dermatology
Skin Infections,,What are skin infections? Your skin is your body's largest organ.,Dermatology
Skin Pigmentation Disorders,"Hyperpigmentation, Hypopigmentation",Pigmentation means coloring. Skin pigmentation disorders affect the color of your skin.,Dermatology
Sleep Apnea,Sleep-disordered breathing,Sleep apnea is a common disorder that causes your breathing to stop or get very shallow. Breathing pauses can last from a few seconds to minutes.,Neurology
Sleep Disorders,,What is sleep? Sleep is a complex biological process.,Neurology
Small Intestine Disorders,,Your small intestine is the longest part of your digestive system - about twenty feet long! It connects your stomach to your large intestine (or colon) and folds many times to fit inside your abdomen.,Gastroenterology
Smallpox,,Smallpox is a disease caused by the Variola major virus. Some experts say that over the centuries it has killed more people than all other infectious diseases combined.,Infectious Disease
Smokeless Tobacco,"Chewing tobacco, Dip, Oral tobacco, Snuff, Spit tobacco",Many people who chew tobacco or dip snuff think it's safer than smoking. But you don't have to smoke tobacco for it to be dangerous.,Dentistry
Smoking,"Cigar smoking, Cigarette smoking, Pipe smoking, Tobacco smoking",What are the health effects of smoking? There's no way around it; smoking is bad for your health.,Pulmonology
Smoking and Youth,Teen smoking,"Smoking cigarettes has many health risks for everyone. However, the younger you are when you start smoking, the more problems it can cause.",Addiction Medicine
Snoring,,Snoring is the sound you make when your breathing is blocked while you are asleep. The sound is caused by tissues at the top of your airway that strike each other and vibrate.,Otolaryngology
Soft Tissue Sarcoma,,"Your soft tissues connect, support, or surround other tissues. Examples include your muscles, tendons, fat, and blood vessels.",Oncology
Sore Throat,Pharyngitis,Your throat is a tube that carries food to your esophagus and air to your windpipe and larynx (also called the voice box). The technical name for the throat is pharynx.,Otolaryngology
Speech and Communication Disorders,Communication disorders,Many disorders can affect our ability to speak and communicate. They range from saying sounds incorrectly to being completely unable to speak or understand speech.,Neurology
Speech and Language Problems in Children,,Children vary in their development of speech and language skills. Health care professionals have lists of milestones for what's normal.,Neurology
Spider Bites,,"Though many people are afraid of spiders, they rarely bite people unless threatened. Most spider bites are harmless.",Trauma Surgery
Spina Bifida,"Cleft spine, Open spine","Spina bifida is a neural tube defect - a type of birth defect of the brain, spine, or spinal cord. It happens if the spinal column of the fetus doesn't close completely during the first month of pregnancy.",Neurology
Spinal Cord Diseases,,Your spinal cord is a bundle of nerves that runs down the middle of your back. It carries signals back and forth between your body and your brain.,Neurology
Spinal Cord Injuries,,Your spinal cord is a bundle of nerves that runs down the middle of your back. It carries signals back and forth between your body and your brain.,Neurology
Spinal Muscular Atrophy,SMA,What is spinal muscular atrophy (SMA)? Spinal muscular atrophy (SMA) is a group of genetic diseases that damages and kills motor neurons.,Neurology
Spinal Stenosis,,"Your spine, or backbone, protects your spinal cord and allows you to stand and bend. Spinal stenosis causes narrowing in your spine.",Orthopedics
Spine Injuries and Disorders,,"Your backbone, or spine, is made up of 26 bone discs called vertebrae. The vertebrae protect your spinal cord and allow you to stand and bend.",Orthopedics
Spleen Diseases,Splenic diseases,Your spleen is an organ above your stomach and under your ribs on your left side. It is about as big as your fist.,Allergy and Immunology
Sports Injuries,,"Exercising is good for you, but sometimes you can injure yourself when you play sports or exercise. Accidents, poor training practices, or improper gear can cause them.",Trauma Surgery
Sprains and Strains,,A sprain is a stretched or torn ligament. Ligaments are tissues that connect bones at a joint.,Orthopedics
Staphylococcal Infections,Staph,What are Staphylococcal (staph) infections? Staphylococcus (staph) is a group of bacteria.,Infectious Disease
Statins,HMG-CoA reductase inhibitors,Statins are drugs used to lower cholesterol. Your body needs some cholesterol to work properly.,Pharmacology
Stem Cells,,Stem cells are cells with the potential to develop into many different types of cells in the body. They serve as a repair system for the body.,Transplant Surgery
Steroids,"Corticosteroids, Glucocorticoids","You may have heard of anabolic steroids, which can have harmful effects. But there's another type of steroid - sometimes called a corticosteroid - that treats a variety of problems.",Pharmacology
Stillbirth,,"If a woman loses a pregnancy after she's past her 20th week, it's called a stillbirth. Stillbirths are due to natural causes.",Gynecology
Stomach Cancer,Gastric cancer,The stomach is an organ between the esophagus and the small intestine. It mixes food with stomach acid and helps digest protein.,Gastroenterology
Stomach Disorders,Gastric disorders,Your stomach is an organ between your esophagus and small intestine. It is where digestion of protein begins.,Gastroenterology
Streptococcal Infections,Strep,"Strep is short for Streptococcus, a type of bacteria. There are several types.",Otolaryngology
Stress,Psychological stress,What is stress? Stress is how your brain and body respond to a challenge or demand.,Psychiatry
Stroke,"Brain attack, CVA",What is a stroke? A stroke happens when there is a loss of blood flow to part of the brain.,"Hematology, Cardiology"
Stroke Rehabilitation,,A stroke can cause lasting brain damage. People who survive a stroke need to relearn skills they lost because of the damage.,Neurology
Stuttering,Stammering,What is stuttering? Stuttering is a speech disorder.,Neurology
Sudden Cardiac Arrest,"SCA, Sudden cardiac death",What is sudden cardiac arrest (SCA)? Sudden cardiac arrest (SCA) is a condition in which the heart suddenly stops beating.,"Hematology, Cardiology"
Sudden Infant Death Syndrome,"Crib death, SIDS","Sudden infant death syndrome (SIDS) is the sudden, unexplained death of an infant younger than one year old. Some people call SIDS ""crib death"" because many babies who die of SIDS are found in their cribs.",Pediatrics
Suicide,,What is suicide? Suicide is the taking of one's own life.,Psychiatry
Sun Exposure,Sunburn,Ultraviolet (UV) rays are an invisible form of radiation. They can pass through your skin and damage your skin cells.,Dermatology
Surgery,Operation,There are many reasons to have surgery. Some operations can relieve or prevent pain.,"Orthopedic Surgery, Physical Medicine and Rehabilitation"
Swallowing Disorders,Dysphagia,"If you have a swallowing disorder, you may have difficulty or pain when swallowing. Some people cannot swallow at all.",Gastroenterology
Sweat,Perspiration,"Sweat is a clear, salty liquid produced by glands in your skin. Sweating is how your body cools itself.",Dermatology
Syphilis,,"Syphilis is a sexually transmitted disease caused by bacteria. It infects the genital area, lips, mouth, or anus of both men and women.",Gynecology
Syringomyelia,,"Syringomyelia is a rare disorder that causes a cyst to form in your spinal cord. This cyst, called a syrinx, gets bigger and longer over time, destroying part of the spinal cord.",Neurology
Tailbone Disorders,Coccyx disorders,"The tailbone is the small bone at the bottom of your backbone, or spine. Tailbone disorders include tailbone injuries, pain, infections, cysts and tumors.",Orthopedics
Tanning,,Can a tan be healthy? Some people think that tanning gives them a healthy glow.,Dermatology
Taste and Smell Disorders,,Our senses of taste and smell give us great pleasure. Taste helps us enjoy food and beverages.,Otolaryngology
Tay-Sachs Disease,,"Tay-Sachs disease is a rare, inherited disease. It is a type of lipid metabolism disorder.",Neurology
Tears,Lacrimation,"You may only think of tears as those salty drops that fall from your eyes when you cry. Actually, your tears clean your eyes every time you blink.",Ophthalmology
Teen Depression,,What is depression in teens? Depression in teens (ages 13-17) is a serious medical illness.,Psychiatry
Teen Development,Adolescent development,"As a teenager, you go through many physical, mental, emotional, and social changes. The biggest change is puberty, the process of becoming sexually mature.",Psychiatry
Teen Health,Adolescent health,"As a teenager, you go through many changes. Your body is on its way to becoming its adult size.",Pediatrics
Teen Mental Health,,"Being a teenager is hard. You're under stress to be liked, do well in school, get along with your family, and make big decisions.",Psychiatry
Teen Sexual Health,,What is teen sexual health? Teen sexual health is about how sex affects your physical and emotional health.,Pediatrics
Teen Violence,Youth violence,"Teen violence refers to harmful behaviors that can start early and continue into young adulthood. The young person can be a victim, an offender, or a witness to the violence.",Pediatrics
Teenage Pregnancy,Adolescent pregnancy,"Most teenage girls don't plan to get pregnant, but many do. Teen pregnancies carry extra health risks to both the mother and the baby.",Gynecology
Temporomandibular Joint Dysfunction,"TMD, TMJ syndrome, Temporomandibular disorders","The temporomandibular joint (TMJ) connects your jaw to the side of your head. When it works well, it enables you to talk, chew, and yawn.",Dentistry
Tendinitis,Tendonitis,Tendons are flexible bands of tissue that connect muscles to bones. They help your muscles move your bones.,Orthopedics
Testicular Cancer,,What is testicular cancer? Testicular cancer is a cancer that develops in the tissues of one or both testicles.,Endocrinology
Testicular Disorders,,"Testicles, or testes, make male hormones and sperm. They are two egg-shaped organs inside the scrotum, the loose sac of skin behind the penis.",Endocrinology
Tetanus,,"Tetanus is a serious illness caused by Clostridium bacteria. The bacteria live in soil, saliva, dust, and manure.",Infectious Disease
"Tetanus, Diphtheria, and Pertussis Vaccines","DTaP, DTaP/Tdap/Td, Td, Td vaccination booster, Tdap, Tetanus booster","Tetanus, diphtheria, and pertussis (whooping cough) are serious bacterial infections. Tetanus causes painful tightening of the muscles, usually all over the body.",Allergy and Immunology
Thalassemia,"Cooley's anemia, Mediterranean anemia","Thalassemias are inherited blood disorders. If you have one, your body makes fewer healthy red blood cells and less hemoglobin.","Hematology, Cardiology"
Thoracic Outlet Syndrome,TOS,"Thoracic outlet syndrome (TOS) causes pain in the shoulder, arm, and neck. It happens when the nerves or blood vessels just below your neck are compressed, or squeezed.",Neurology
Throat Cancer,"Hypopharyngeal cancer, Laryngeal cancer, Laryngopharyngeal cancer, Nasopharyngeal cancer, Oropharyngeal cancer, Pharyngeal cancer","Throat cancer is a type of head and neck cancer. Throat cancer has different names, depending on which part of the throat is affected.",Otolaryngology
Throat Disorders,Pharyngeal disorders,Your throat is a tube that carries food to your esophagus and air to your windpipe and larynx. The technical name for your throat is the pharynx.,Otolaryngology
Thymus Cancer,Thymoma,"The thymus is a small organ in your upper chest, under your breastbone. Before birth and during childhood, the thymus helps the body make a type of white blood cell.",Endocrinology
Thyroid Cancer,,What is thyroid cancer? Thyroid cancer is a cancer that starts in the tissues of the thyroid.,Otolaryngology
Thyroid Diseases,,"Your thyroid is a small, butterfly-shaped gland in the front of your neck. It makes hormones that control the way the body uses energy.",Endocrinology
Thyroid Tests,Thyroid panel,"Your thyroid is a small, butterfly-shaped gland in the front of your neck. It makes hormones that control the way the body uses energy.",Endocrinology
Tick Bites,,What are ticks? Ticks are small parasites.,Dermatology
Tinea Infections,Ringworm,"Tinea is the name of a group of diseases caused by a fungus. Types of tinea include ringworm, athlete's foot and jock itch.",Dermatology
Tinnitus,,"Tinnitus is often described as a ringing in the ears. It also can sound like roaring, clicking, hissing, or buzzing.",Otolaryngology
Toddler Development,,"Mastering new skills such as how to walk, talk, and use the potty are developmental milestones. It is exciting to watch your toddler learn new skills.",Pediatrics
Toddler Health,,Most young children get sick. It is hard for parents to know what is serious.,Pediatrics
Toddler Nutrition,,Food provides the energy and nutrients that young children need to be healthy. Toddlers are learning to feed themselves and to eat new foods.,Pediatrics
Toe Injuries and Disorders,,"Fourteen of the 26 bones in your feet are in your toes. The toes, particularly your big toe, help you move and keep your balance.",Orthopedics
Tongue Disorders,,"Your tongue helps you taste, swallow, and chew. You also use it to speak.",Dentistry
Tonsillitis,Tonsil Inflammation,What are tonsils? Tonsils are lumps of tissue at the back of the throat.,Otolaryngology
Tooth Decay,"Cavities, Dental caries","What is tooth decay? Tooth decay is damage to a tooth's surface, or enamel.",Dentistry
Tooth Disorders,,"What are teeth? Your teeth are made of a hard, bonelike material.",Dentistry
Tourette Syndrome,,"If you have Tourette syndrome, you make unusual movements or sounds, called tics. You have little or no control over them.",Neurology
Toxoplasmosis,,Toxoplasmosis is a disease caused by the parasite Toxoplasma gondii. More than 60 million people in the U.S. have the parasite.,Infectious Disease
Tracheal Disorders,Windpipe disorders,"Your trachea, or windpipe, is one part of your airway system. Airways are pipes that carry oxygen-rich air to your lungs.",Pulmonology
Transient Ischemic Attack,"Mini-stroke, TIA",A transient ischemic attack (TIA) is a stroke that lasts only a few minutes. It happens when the blood supply to part of the brain is briefly blocked.,"Hematology, Cardiology"
Traumatic Brain Injury,"Acquired brain injury, TBI",What is traumatic brain injury (TBI)? Traumatic brain injury (TBI) is a sudden injury that causes damage to the brain.,Neurology
Traveler's Health,,Traveling can increase your chances of getting sick. A long flight can increase your risk for deep vein thrombosis.,Infectious Disease
Tremor,,What is a tremor? A tremor is a rhythmic shaking movement in one or more parts of your body.,Neurology
Trichomoniasis,Trich,Trichomoniasis is a sexually transmitted disease caused by a parasite. It spreads from person to person during sex.,Gynecology
Trigeminal Neuralgia,"TN, Tic douloureux","Trigeminal neuralgia (TN) is a type of chronic pain that affects your face. It causes extreme, sudden burning or shock-like pain.",Neurology
Triglycerides,,What are triglycerides? Triglycerides are a type of fat.,"Hematology, Cardiology"
Tubal Ligation,,"Tubal ligation (getting your ""tubes tied"") is a type of surgery. It prevents a woman from getting pregnant.",Gynecology
Tuberculosis,TB,What is tuberculosis (TB)? Tuberculosis (TB) is a bacterial disease that usually attacks the lungs.,Pulmonology
Tuberous Sclerosis,"TSC, Tuberous sclerosis complex","Tuberous sclerosis is a rare genetic disease that causes benign tumors to grow in the brain and other organs. Symptoms vary, depending on where the tumors grow.",Neurology
Tumors and Pregnancy,,"Tumors during pregnancy are rare, but they can happen. Tumors can be either benign or malignant.",Oncology
Turner Syndrome,,What is Turner syndrome? Turner syndrome is a genetic disorder that affects a girl's development and appearance.,Endocrinology
"Twins, Triplets, Multiple Births",,"If you are pregnant with more than one baby, you are far from alone. Multiple births are up in the United States.",Obstetrics and Gynecology
Ulcerative Colitis,"Colitis, Distal colitis, Pancolitis, Ulcerative proctitis","Ulcerative colitis (UC) is a disease that causes inflammation and sores, called ulcers, in the lining of the rectum and colon. It is one of a group of diseases called inflammatory bowel disease.",Gastroenterology
Uncommon Infant and Newborn Problems,,"It can be scary when your baby is sick, especially when it is not an everyday problem like a cold or a fever. You may not know whether the problem is serious or how to treat it.",Pediatrics
Underage Drinking,Teenage drinking,Alcohol is the most widely misused substance among America's youth. Drinking by young people has big health and safety risks.,Addiction Medicine
Ureteral Disorders,,Your kidneys make urine by filtering wastes and extra water from your blood. The urine travels from the kidneys to the bladder in two thin tubes called ureters.,"Nephrology, Urology"
Urethral Disorders,,"The urethra is the tube that allows urine to pass out of the body. In men, it's a long tube that runs through the penis.","Nephrology, Urology"
Urinalysis,"UA, Urine Analysis, Urine Test","A urinalysis is a test of your urine. It is often done to check for a urinary tract infections, kidney problems, or diabetes.","Nephrology, Urology"
Urinary Incontinence,Bladder control problems,"What is urinary incontinence (UI)? Urinary incontinence (UI) is the loss of bladder control, or being unable to control urination.","Nephrology, Urology"
Urinary Tract Infections,UTI,"The urinary system is the body's drainage system for removing wastes and extra water. It includes two kidneys, two ureters, a bladder, and a urethra.","Nephrology, Urology"
Urine and Urination,,Your kidneys make urine by filtering wastes and extra water from your blood. The waste is called urea.,"Nephrology, Urology"
Usher Syndrome,,"Usher syndrome is an inherited disease that causes serious hearing loss and retinitis pigmentosa, an eye disorder that causes your vision to get worse over time. It is the most common condition that affects both hearing and vision.",Otolaryngology
Uterine Cancer,Endometrial cancer,"The uterus, or womb, is the place where a baby grows when a women is pregnant. There are different types of uterine cancer.",Gynecology
Uterine Diseases,,"The uterus, or womb, is the place where a baby grows when a woman is pregnant. The first sign of a problem with the uterus may be bleeding between periods or after sex.",Gynecology
Uterine Fibroids,"Fibroids, Uterine leiomyomata","Uterine fibroids are the most common benign tumors in women of childbearing age. Fibroids are made of muscle cells and other tissues that grow in and around the wall of the uterus, or womb.",Gynecology
Vaccine Safety,,What are vaccines? Vaccines play an important role in keeping us healthy.,Allergy and Immunology
Vaccines,"Immunization, Vaccination","What are vaccines? Vaccines are injections (shots), liquids, pills, or nasal sprays that you take to teach your body's immune system to recognize and defend against harmful germs.",Allergy and Immunology
Vaginal Bleeding,"Dysfunctional Uterine Bleeding, Uterine Bleeding","Menstruation, or period, is a woman's monthly bleeding. Abnormal vaginal bleeding is different from normal menstrual periods.",Gynecology
Vaginal Cancer,,Vaginal cancer is a rare type of cancer. It is more common in women 60 and older.,Gynecology
Vaginal Diseases,,Vaginal problems are some of the most common reasons women go to the doctor. They may have symptoms such as: Itching Burning Pain Abnormal bleeding Discharge,Gynecology
Vaginitis,,"What is vaginitis? Vaginitis, also called vulvovaginitis, is an inflammation or infection of the vagina.",Gynecology
Valley Fever,Coccidioidomycosis,Valley Fever is a disease caused by a fungus (or mold) called Coccidioides. The fungi live in the soil of dry areas like the southwestern U.S.,Infectious Disease
Varicose Veins,,"Varicose veins are swollen, twisted veins that you can see just under the skin. They usually occur in the legs, but also can form in other parts of the body.","Hematology, Cardiology"
Vascular Diseases,,What are vascular diseases? Your vascular system is your body's network of blood vessels.,"Hematology, Cardiology"
Vasculitis,Angiitis,Vasculitis is an inflammation of the blood vessels. It happens when the body's immune system attacks the blood vessel by mistake.,"Hematology, Cardiology"
Vasectomy,,A vasectomy is a type of minor surgery that prevents a man from being able to get a woman pregnant. It is a permanent form of birth control.,"Urology, Andrology"
Veterans and Military Family Health,,Service members and veterans face some different health issues from civilians. Their families also face some unique challenges.,"Geriatrics, Pediatrics"
Veterans and Military Health,,"Military service members and veterans have made sacrifices to our country, and they face different health issues than civilians. During their service, they are at risk for various injuries.","Geriatrics, Pediatrics"
Viral Infections,,What are viruses? Viruses are very tiny germs.,Allergy and Immunology
Vision Impairment and Blindness,Low vision,"If you have low vision, eyeglasses, contact lenses, medicine, or surgery may not help. Activities like reading, shopping, cooking, writing, and watching TV may be hard to do.",Ophthalmology
Vital Signs,,"Your vital signs show how well your body is functioning. They are usually measured at doctor's offices, often as part of a health checkup, or during an emergency room visit.",Radiology
Vitiligo,,"Vitiligo causes white patches on your skin. It can also affect your eyes, mouth, and nose.",Dermatology
VLDL Cholesterol,,"What is cholesterol? Cholesterol is a waxy, fat-like substance that's found in all the cells in your body.","Hematology, Cardiology"
Voice Disorders,Vocal disorders,"Voice is the sound made by air passing from your lungs through your larynx, or voice box. In your larynx are your vocal cords, two bands of muscle that vibrate to make sound.",Dentistry
Von Hippel-Lindau Disease,VHL,What is Von Hippel-Lindau disease (VHL)? Von Hippel-Lindau disease (VHL) is a rare disease that causes tumors and cysts to grow in your body.,Medical Genetics
Vulvar Cancer,,"Vulvar cancer is a rare type of cancer. It forms in a woman's external genitals, called the vulva.",Gynecology
Vulvar Disorders,,"The vulva is the external part of a woman's genitals. Some problems you can have with the vulvar area include: Vaginitis or vulvovaginitis, swelling or infection of the vulva and vagina Skin problems due to allergy Vulvar cancer Vulvodynia, or vulvar pain Symptoms may include redness, itching, pain, or cracks in the skin.",Gynecology
Walking Problems,,"What are walking problems? If you are like most people, you walk thousands of steps each day.",Orthopedics
Warts,Verruca,"Warts are growths on your skin caused by an infection with humanpapilloma virus, or HPV. Types of warts include : Common warts, which often appear on your fingers Plantar warts, which show up on the soles of your feet Genital warts, which are a sexually transmitted disease Flat warts, which appear in places you shave frequently In children, warts often go away on their own.",Dermatology
Water Pollution,,"We all need clean water. People need it to grow crops and to operate factories, and for drinking and recreation.",Medical Toxicology
Weight Loss Surgery,"Bariatric surgery, Bypass surgery, Gastric banding, Obesity surgery",Weight loss surgery helps people with extreme obesity to lose weight. It may be an option if you cannot lose weight through diet and exercise or have serious health problems caused by obesity.,Gastroenterology
West Nile Virus,WNV,West Nile virus (WNV) is an infectious disease that first appeared in the United States in 1999. Infected mosquitoes spread the virus that causes it.,Neurology
Whooping Cough,Pertussis,"What is whooping cough? Whooping cough, or pertussis, is a respiratory infection that can cause coughing fits.",Pulmonology
Wilms Tumor,Nephroblastoma,Wilms tumor is a rare type of kidney cancer. It causes a tumor on one or both kidneys.,"Nephrology, Urology"
Wilson Disease,"Copper storage disease, Hepatolenticular degeneration",Wilson disease is a rare inherited disorder that prevents your body from getting rid of extra copper. You need a small amount of copper from food to stay healthy.,Neurology
Women's Health,,Women have unique health issues. And some of the health issues that affect both men and women can affect women differently.,"Geriatrics, Pediatrics"
Women's Health Checkup,,"Regular health exams and tests can help find problems before they start. They also can help find problems early, when your chances for treatment are better.",Obstetrics and Gynecology
Wounds and Injuries,Traumatic injuries,"An injury is damage to your body. It is a general term that refers to harm caused by accidents, falls, hits, weapons, and more.",Dermatology
Wrist Injuries and Disorders,,Your wrist connects your hand to your forearm. It is not one big joint; it has several small joints.,Orthopedics
X-Rays,Radiography,X-rays are a type of radiation called electromagnetic waves. X-ray imaging creates pictures of the inside of your body.,Radiology
Yeast Infections,"Candidiasis, Moniliasis","Candida is the scientific name for yeast. It is a fungus that lives almost everywhere, including in your body.",Dentistry
Zika Virus,Zika,Zika is a virus that is spread mostly by mosquitoes. A pregnant mother can pass it to her baby during pregnancy or around the time of birth.,Infectious Disease
